run_name,model_id,model_name,params,best_loss,best_policy_acc,lr,seed,epochs_run,timestamp
model1_mlp_baseline_lr0.001_seed42_20260329_153917,1,mlp_baseline,99896,5.894352,0.0067,0.001,42,143,20260329_153917
model2_cnn_shallow_lr0.001_seed42_20260329_155936,2,cnn_shallow,97388,4.475763,0.1101,0.001,42,215,20260329_155936
model3_cnn_batchnorm_lr0.001_seed42_20260329_163109,3,cnn_batchnorm,99848,3.873603,0.2943,0.001,42,131,20260329_163109
model4_resnet_tiny_lr0.001_seed42_20260329_165053,4,resnet_tiny,99700,3.801758,0.3145,0.001,42,208,20260329_165053
model5_dsconv_lr0.001_seed42_20260329_172343,5,dsconv,99576,6.000666,0.0043,0.001,42,41,20260329_172343
model6_cnn_asymmetric_lr0.001_seed42_20260329_173014,6,cnn_asymmetric,99721,4.815339,0.0676,0.001,42,119,20260329_173014
model7_mobilenet_style_lr0.001_seed42_20260329_174800,7,mobilenet_style,99644,4.51069,0.1738,0.001,42,75,20260329_174800
model8_resnet_se_lr0.001_seed42_20260329_180015,8,resnet_se,99496,4.362675,0.1751,0.001,42,77,20260329_180015
model9_resnet_dilated_lr0.001_seed42_20260329_181305,9,resnet_dilated,99628,3.666105,0.327,0.001,42,263,20260329_181305
model10_cnn_transformer_lr0.001_seed42_20260329_185524,10,cnn_transformer,99498,6.000207,0.0046,0.001,42,62,20260329_185524
